"sujeto";"predicado";"objeto";"confianza";"frase"
"the levels of variables";"be prefix with";"with hyper hyperthermia";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"the levels of variables";"be";"often prefix";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"the levels of variables";"be prefix with";"with hyperthermia";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"the levels of variables";"be often prefix with";"with hyper respectively hyperthermia";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"the levels of variables";"be";"prefix";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"level";"be";"where high than that need";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"level";"be";"where high";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"level";"be";"high";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"the levels of variables";"be prefix with";"with respectively hyperthermia";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"the levels of variables";"be often prefix with";"with hyper hyperthermia";"1.0";"Where the levels of variables are higher or lower than those needed, they are often prefixed with hyper- and hypo-, respectively such as hyperthermia and hypothermia or hypertension and hypotension."
"fluid";"bath";"cell";"1.0";"The conditions vary with each organism, and also with whether the chemical processes take place inside the cell or in the interstitial fluid bathing the cells."
"interstitial fluid";"bath";"cell";"1.0";"The conditions vary with each organism, and also with whether the chemical processes take place inside the cell or in the interstitial fluid bathing the cells."
"many other homeostatic mechanism";"entity in";"body";"1.0";"However, a great many other homeostatic mechanisms, encompassing many aspects of human physiology, control other entities in the body."
